x,y,vx,vy,FR,Paddle.y
1039,299,-1,-1,330,329
1038,298,-1,-1,330,329
1037,297,-1,-1,330,329
1036,296,-1,-1,330,329
1035,295,-1,-1,330,329
1034,294,-1,-1,330,329
1033,293,-1,-1,330,329
1032,292,-1,-1,330,329
1031,291,-1,-1,330,329
1030,290,-1,-1,330,329
1029,289,-1,-1,330,329
1028,288,-1,-1,330,329
1027,287,-1,-1,330,329
1026,286,-1,-1,330,329
1025,285,-1,-1,330,329
1024,284,-1,-1,330,329
1023,283,-1,-1,330,329
1022,282,-1,-1,330,329
1021,281,-1,-1,330,329
1020,280,-1,-1,330,329
1019,279,-1,-1,330,329
1018,278,-1,-1,330,329
1017,277,-1,-1,330,329
1016,276,-1,-1,330,329
1015,275,-1,-1,330,329
1014,274,-1,-1,330,329
1013,273,-1,-1,330,329
1012,272,-1,-1,330,329
1011,271,-1,-1,330,329
1010,270,-1,-1,330,329
1009,269,-1,-1,330,329
1008,268,-1,-1,330,329
1007,267,-1,-1,330,329
1006,266,-1,-1,330,329
1005,265,-1,-1,330,329
1004,264,-1,-1,330,329
1003,263,-1,-1,330,329
1002,262,-1,-1,330,329
1001,261,-1,-1,330,329
1000,260,-1,-1,330,329
999,259,-1,-1,330,329
998,258,-1,-1,330,329
997,257,-1,-1,330,329
996,256,-1,-1,330,329
995,255,-1,-1,330,329
994,254,-1,-1,330,329
993,253,-1,-1,330,329
992,252,-1,-1,330,329
991,251,-1,-1,330,329
990,250,-1,-1,330,329
989,249,-1,-1,330,329
988,248,-1,-1,330,329
987,247,-1,-1,330,329
986,246,-1,-1,330,329
985,245,-1,-1,330,329
984,244,-1,-1,330,329
983,243,-1,-1,330,329
982,242,-1,-1,330,329
981,241,-1,-1,330,329
980,240,-1,-1,330,329
979,239,-1,-1,330,329
978,238,-1,-1,330,329
977,237,-1,-1,330,329
976,236,-1,-1,330,329
975,235,-1,-1,330,329
974,234,-1,-1,330,329
973,233,-1,-1,330,329
972,232,-1,-1,330,329
971,231,-1,-1,330,329
970,230,-1,-1,330,329
969,229,-1,-1,330,329
968,228,-1,-1,330,329
967,227,-1,-1,330,329
966,226,-1,-1,330,329
965,225,-1,-1,330,329
964,224,-1,-1,330,329
963,223,-1,-1,330,329
962,222,-1,-1,330,329
961,221,-1,-1,330,329
960,220,-1,-1,330,329
959,219,-1,-1,330,329
958,218,-1,-1,330,329
957,217,-1,-1,330,329
956,216,-1,-1,330,329
955,215,-1,-1,330,329
954,214,-1,-1,330,329
953,213,-1,-1,330,329
952,212,-1,-1,330,329
951,211,-1,-1,330,329
950,210,-1,-1,330,329
949,209,-1,-1,330,329
948,208,-1,-1,330,329
947,207,-1,-1,330,329
946,206,-1,-1,330,329
945,205,-1,-1,330,329
944,204,-1,-1,330,329
943,203,-1,-1,330,329
942,202,-1,-1,330,329
941,201,-1,-1,330,329
940,200,-1,-1,330,329
939,199,-1,-1,330,329
938,198,-1,-1,330,329
937,197,-1,-1,330,329
936,196,-1,-1,330,329
935,195,-1,-1,330,329
934,194,-1,-1,330,329
933,193,-1,-1,330,329
932,192,-1,-1,330,329
931,191,-1,-1,330,329
930,190,-1,-1,330,329
929,189,-1,-1,330,329
928,188,-1,-1,330,329
927,187,-1,-1,330,329
926,186,-1,-1,330,329
925,185,-1,-1,330,329
924,184,-1,-1,330,329
923,183,-1,-1,330,329
922,182,-1,-1,330,329
921,181,-1,-1,330,329
920,180,-1,-1,330,329
919,179,-1,-1,330,329
918,178,-1,-1,330,329
917,177,-1,-1,330,329
916,176,-1,-1,330,329
915,175,-1,-1,330,329
914,174,-1,-1,330,329
913,173,-1,-1,330,329
912,172,-1,-1,330,329
911,171,-1,-1,330,329
910,170,-1,-1,330,329
909,169,-1,-1,330,329
908,168,-1,-1,330,329
907,167,-1,-1,330,329
906,166,-1,-1,330,329
905,165,-1,-1,330,329
904,164,-1,-1,330,329
903,163,-1,-1,330,329
902,162,-1,-1,330,329
901,161,-1,-1,330,329
900,160,-1,-1,330,329
899,159,-1,-1,330,329
898,158,-1,-1,330,329
897,157,-1,-1,330,329
896,156,-1,-1,330,329
895,155,-1,-1,330,329
894,154,-1,-1,330,329
893,153,-1,-1,330,329
892,152,-1,-1,330,329
891,151,-1,-1,330,329
890,150,-1,-1,330,329
889,149,-1,-1,330,329
888,148,-1,-1,330,329
887,147,-1,-1,330,329
886,146,-1,-1,330,329
885,145,-1,-1,330,329
884,144,-1,-1,330,329
883,143,-1,-1,330,329
882,142,-1,-1,330,329
881,141,-1,-1,330,329
880,140,-1,-1,330,329
879,139,-1,-1,330,329
878,138,-1,-1,330,329
877,137,-1,-1,330,329
876,136,-1,-1,330,326
875,135,-1,-1,330,326
874,134,-1,-1,330,326
873,133,-1,-1,330,326
872,132,-1,-1,330,326
871,131,-1,-1,330,323
870,130,-1,-1,330,323
869,129,-1,-1,330,323
868,128,-1,-1,330,323
867,127,-1,-1,330,323
866,126,-1,-1,330,312
865,125,-1,-1,330,312
864,124,-1,-1,330,312
863,123,-1,-1,330,312
862,122,-1,-1,330,302
861,121,-1,-1,330,302
860,120,-1,-1,330,302
859,119,-1,-1,330,302
858,118,-1,-1,330,302
857,117,-1,-1,330,294
856,116,-1,-1,330,294
855,115,-1,-1,330,294
854,114,-1,-1,330,294
853,113,-1,-1,330,294
852,112,-1,-1,330,290
851,111,-1,-1,330,290
850,110,-1,-1,330,290
849,109,-1,-1,330,290
848,108,-1,-1,330,288
847,107,-1,-1,330,288
846,106,-1,-1,330,288
845,105,-1,-1,330,288
844,104,-1,-1,330,286
843,103,-1,-1,330,286
842,102,-1,-1,330,286
841,101,-1,-1,330,286
840,100,-1,-1,330,286
839,99,-1,-1,330,286
838,98,-1,-1,330,286
837,97,-1,-1,330,286
836,96,-1,-1,330,286
835,95,-1,-1,330,286
834,94,-1,-1,330,286
833,93,-1,-1,330,286
832,92,-1,-1,330,286
831,91,-1,-1,330,286
830,90,-1,-1,330,286
829,89,-1,-1,330,286
828,88,-1,-1,330,286
827,87,-1,-1,330,286
826,86,-1,-1,330,286
825,85,-1,-1,330,286
824,84,-1,-1,330,286
823,83,-1,-1,330,286
822,82,-1,-1,330,286
821,81,-1,-1,330,286
820,80,-1,-1,330,286
819,79,-1,-1,330,286
818,78,-1,-1,330,286
817,77,-1,-1,330,286
816,76,-1,-1,330,286
815,75,-1,-1,330,286
814,74,-1,-1,330,286
813,73,-1,-1,330,286
812,72,-1,-1,330,286
811,71,-1,-1,330,286
810,70,-1,-1,330,286
809,69,-1,-1,330,286
808,68,-1,-1,330,286
807,67,-1,-1,330,286
806,66,-1,-1,330,286
805,65,-1,-1,330,286
804,64,-1,-1,330,286
803,63,-1,-1,330,286
802,62,-1,-1,330,286
801,61,-1,-1,330,286
800,60,-1,-1,330,286
799,59,-1,-1,330,286
798,58,-1,-1,330,286
797,57,-1,-1,330,286
796,56,-1,-1,330,286
795,55,-1,-1,330,286
794,54,-1,-1,330,286
793,53,-1,-1,330,286
792,52,-1,-1,330,286
791,51,-1,-1,330,286
790,50,-1,-1,330,286
789,49,-1,-1,330,285
788,48,-1,-1,330,285
787,47,-1,-1,330,285
786,46,-1,-1,330,285
785,45,-1,-1,330,283
784,44,-1,-1,330,283
783,43,-1,-1,330,283
782,42,-1,-1,330,283
781,41,-1,-1,330,279
780,40,-1,-1,330,279
780,40,-1,1,330,279
779,41,-1,1,330,279
778,42,-1,1,330,279
777,43,-1,1,330,276
776,44,-1,1,330,276
775,45,-1,1,330,276
774,46,-1,1,330,276
773,47,-1,1,330,270
772,48,-1,1,330,270
771,49,-1,1,330,270
770,50,-1,1,330,270
769,51,-1,1,330,264
768,52,-1,1,330,264
767,53,-1,1,330,264
766,54,-1,1,330,264
765,55,-1,1,330,264
764,56,-1,1,330,260
763,57,-1,1,330,260
762,58,-1,1,330,260
761,59,-1,1,330,260
760,60,-1,1,330,256
759,61,-1,1,330,256
758,62,-1,1,330,256
757,63,-1,1,330,256
756,64,-1,1,330,255
755,65,-1,1,330,255
754,66,-1,1,330,255
753,67,-1,1,330,255
752,68,-1,1,330,255
751,69,-1,1,330,255
750,70,-1,1,330,255
749,71,-1,1,330,255
748,72,-1,1,330,255
747,73,-1,1,330,255
746,74,-1,1,330,255
745,75,-1,1,330,255
744,76,-1,1,330,255
743,77,-1,1,330,255
742,78,-1,1,330,256
741,79,-1,1,330,256
740,80,-1,1,330,256
739,81,-1,1,330,256
738,82,-1,1,330,256
737,83,-1,1,330,258
736,84,-1,1,330,258
735,85,-1,1,330,258
734,86,-1,1,330,258
733,87,-1,1,330,261
732,88,-1,1,330,261
731,89,-1,1,330,261
730,90,-1,1,330,261
729,91,-1,1,330,265
728,92,-1,1,330,265
727,93,-1,1,330,265
726,94,-1,1,330,265
725,95,-1,1,330,269
724,96,-1,1,330,269
723,97,-1,1,330,269
722,98,-1,1,330,269
721,99,-1,1,330,269
720,100,-1,1,330,273
719,101,-1,1,330,273
718,102,-1,1,330,273
717,103,-1,1,330,273
716,104,-1,1,330,275
715,105,-1,1,330,275
714,106,-1,1,330,275
713,107,-1,1,330,275
712,108,-1,1,330,275
711,109,-1,1,330,275
710,110,-1,1,330,277
709,111,-1,1,330,277
708,112,-1,1,330,277
707,113,-1,1,330,277
706,114,-1,1,330,277
705,115,-1,1,330,281
704,116,-1,1,330,281
703,117,-1,1,330,281
702,118,-1,1,330,281
701,119,-1,1,330,282
700,120,-1,1,330,282
699,121,-1,1,330,282
698,122,-1,1,330,282
697,123,-1,1,330,282
696,124,-1,1,330,283
695,125,-1,1,330,283
694,126,-1,1,330,283
693,127,-1,1,330,283
692,128,-1,1,330,285
691,129,-1,1,330,285
690,130,-1,1,330,285
689,131,-1,1,330,285
688,132,-1,1,330,285
687,133,-1,1,330,285
686,134,-1,1,330,285
685,135,-1,1,330,285
684,136,-1,1,330,285
683,137,-1,1,330,286
682,138,-1,1,330,286
681,139,-1,1,330,286
680,140,-1,1,330,286
679,141,-1,1,330,286
678,142,-1,1,330,286
677,143,-1,1,330,286
676,144,-1,1,330,286
675,145,-1,1,330,286
674,146,-1,1,330,288
673,147,-1,1,330,288
672,148,-1,1,330,288
671,149,-1,1,330,288
670,150,-1,1,330,288
669,151,-1,1,330,291
